id,name,height,weight,base_experience,type_main,hp,attack,defense,special_attack,special_defense,speed
923,pawmot,9,410,245,electric,70,115,70,70,60,105
478,froslass,13,266,168,ice,70,80,70,80,70,110
130,gyarados,65,2350,189,water,95,125,79,60,100,81
134,vaporeon,10,290,184,water,130,65,60,110,95,65
393,piplup,4,52,63,water,53,51,53,61,56,40
139,omastar,10,350,173,rock,70,60,125,115,70,55
34,nidoking,14,620,227,poison,81,102,77,85,75,85
865,sirfetchd,8,1170,177,fighting,62,135,95,68,82,65
51,dugtrio,7,333,149,ground,35,100,50,50,70,120
384,rayquaza,70,2065,306,dragon,105,150,90,150,90,95
686,inkay,4,35,58,dark,53,54,53,37,46,45
589,escavalier,10,330,173,bug,70,135,105,60,105,20
567,archeops,14,320,177,rock,75,140,65,112,65,110
784,kommo-o,16,782,270,dragon,75,110,125,100,105,85
798,kartana,3,1,257,grass,59,181,131,59,31,109
889,zamazenta,29,2100,335,fighting,92,120,115,80,115,138
726,torracat,7,250,147,fire,65,85,50,80,50,90
178,xatu,15,150,165,psychic,65,75,70,95,70,95
845,cramorant,8,180,166,flying,70,85,55,85,95,85
359,absol,12,470,163,dark,65,130,60,75,60,75
347,anorith,7,125,71,rock,45,95,50,40,50,75
240,magby,7,214,73,fire,45,75,37,70,55,83
990,iron-treads,9,2400,285,ground,90,112,120,72,70,106
189,jumpluff,8,30,207,grass,75,55,70,55,95,110
722,rowlet,3,15,64,grass,68,55,55,50,50,42
683,aromatisse,8,155,162,fairy,101,72,72,99,89,29
900,kleavor,18,890,175,bug,70,135,95,45,70,85
