id,name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type,secondary_type,num_abilities,abilities,power_score,strong
40,wigglytuff,10,120,196,140,70,45,85,50,45,normal,fairy,3,"cute-charm, competitive, frisk",435,0
41,zubat,8,75,49,40,45,35,30,40,55,poison,flying,2,"inner-focus, infiltrator",245,0
42,golbat,16,550,159,75,80,70,65,75,90,poison,flying,2,"inner-focus, infiltrator",455,0
43,oddish,5,54,64,45,50,55,75,65,30,grass,poison,2,"chlorophyll, run-away",320,0
44,gloom,8,86,138,60,65,70,85,75,40,grass,poison,2,"chlorophyll, stench",395,0
45,vileplume,12,186,221,75,80,85,110,90,50,grass,poison,2,"chlorophyll, effect-spore",490,0
46,paras,3,54,57,35,70,55,45,55,25,bug,grass,3,"effect-spore, dry-skin, damp",285,0
47,parasect,10,295,142,60,95,80,60,80,30,bug,grass,3,"effect-spore, dry-skin, damp",405,0
48,venonat,10,300,61,60,55,50,40,55,45,bug,poison,3,"compound-eyes, tinted-lens, run-away",305,0
49,venomoth,15,125,158,70,65,60,90,75,90,bug,poison,3,"shield-dust, tinted-lens, wonder-skin",450,0
50,diglett,2,8,53,10,55,25,35,45,95,ground,,3,"sand-veil, arena-trap, sand-force",265,0
51,dugtrio,7,333,149,35,100,50,50,70,120,ground,,3,"sand-veil, arena-trap, sand-force",425,0
52,meowth,4,42,58,40,45,35,40,40,90,normal,,3,"pickup, technician, unnerve",290,0
53,persian,10,320,154,65,70,60,65,65,115,normal,,3,"limber, technician, unnerve",440,0
54,psyduck,8,196,64,50,52,48,65,50,55,water,,3,"damp, cloud-nine, swift-swim",320,0
55,golduck,17,766,175,80,82,78,95,80,85,water,,3,"damp, cloud-nine, swift-swim",500,1
56,mankey,5,280,61,40,80,35,35,45,70,fighting,,3,"vital-spirit, anger-point, defiant",305,0
57,primeape,10,320,159,65,105,60,60,70,95,fighting,,3,"vital-spirit, anger-point, defiant",455,0
58,growlithe,7,190,70,55,70,45,70,50,60,fire,,3,"intimidate, flash-fire, justified",350,0
59,arcanine,19,1550,194,90,110,80,100,80,95,fire,,3,"intimidate, flash-fire, justified",555,1
60,poliwag,6,124,60,40,50,40,40,40,90,water,,3,"water-absorb, damp, swift-swim",300,0
61,poliwhirl,10,200,135,65,65,65,50,50,90,water,,3,"water-absorb, damp, swift-swim",385,0
62,poliwrath,13,540,230,90,95,95,70,90,70,water,fighting,3,"water-absorb, damp, swift-swim",510,1
63,abra,9,195,62,25,20,15,105,55,90,psychic,,3,"synchronize, inner-focus, magic-guard",310,0
64,kadabra,13,565,140,40,35,30,120,70,105,psychic,,3,"synchronize, inner-focus, magic-guard",400,0
65,alakazam,15,480,225,55,50,45,135,95,120,psychic,,3,"synchronize, inner-focus, magic-guard",500,1
66,machop,8,195,61,70,80,50,35,35,35,fighting,,3,"guts, no-guard, steadfast",305,0
67,machoke,15,705,142,80,100,70,50,60,45,fighting,,3,"guts, no-guard, steadfast",405,0
68,machamp,16,1300,227,90,130,80,65,85,55,fighting,,3,"guts, no-guard, steadfast",505,1
69,bellsprout,7,40,60,50,75,35,70,30,40,grass,poison,2,"chlorophyll, gluttony",300,0
70,weepinbell,10,64,137,65,90,50,85,45,55,grass,poison,2,"chlorophyll, gluttony",390,0
71,victreebel,17,155,221,80,105,65,100,70,70,grass,poison,2,"chlorophyll, gluttony",490,0
72,tentacool,9,455,67,40,40,35,50,100,70,water,poison,3,"clear-body, liquid-ooze, rain-dish",335,0
73,tentacruel,16,550,180,80,70,65,80,120,100,water,poison,3,"clear-body, liquid-ooze, rain-dish",515,1
74,geodude,4,200,60,40,80,100,30,30,20,rock,ground,3,"rock-head, sturdy, sand-veil",300,0
75,graveler,10,1050,137,55,95,115,45,45,35,rock,ground,3,"rock-head, sturdy, sand-veil",390,0
76,golem,14,3000,223,80,120,130,55,65,45,rock,ground,3,"rock-head, sturdy, sand-veil",495,0
77,ponyta,10,300,82,50,85,55,65,65,90,fire,,3,"run-away, flash-fire, flame-body",410,0
78,rapidash,17,950,175,65,100,70,80,80,105,fire,,3,"run-away, flash-fire, flame-body",500,1
79,slowpoke,12,360,63,90,65,65,40,40,15,water,psychic,3,"oblivious, own-tempo, regenerator",315,0
80,slowbro,16,785,172,95,75,110,100,80,30,water,psychic,3,"oblivious, own-tempo, regenerator",490,0
81,magnemite,3,60,65,25,35,70,95,55,45,electric,steel,3,"magnet-pull, sturdy, analytic",325,0
82,magneton,10,600,163,50,60,95,120,70,70,electric,steel,3,"magnet-pull, sturdy, analytic",465,0
83,farfetchd,8,150,132,52,90,55,58,62,60,normal,flying,3,"keen-eye, inner-focus, defiant",377,0
84,doduo,14,392,62,35,85,45,35,35,75,normal,flying,3,"run-away, early-bird, tangled-feet",310,0
85,dodrio,18,852,165,60,110,70,60,60,110,normal,flying,3,"run-away, early-bird, tangled-feet",470,0
86,seel,11,900,65,65,45,55,45,70,45,water,,3,"thick-fat, hydration, ice-body",325,0
87,dewgong,17,1200,166,90,70,80,70,95,70,water,ice,3,"thick-fat, hydration, ice-body",475,0
88,grimer,9,300,65,80,80,50,40,50,25,poison,,3,"stench, sticky-hold, poison-touch",325,0
89,muk,12,300,175,105,105,75,65,100,50,poison,,3,"stench, sticky-hold, poison-touch",500,1
90,shellder,3,40,61,30,65,100,45,25,40,water,,3,"shell-armor, skill-link, overcoat",305,0
91,cloyster,15,1325,184,50,95,180,85,45,70,water,ice,3,"shell-armor, skill-link, overcoat",525,1
92,gastly,13,1,62,30,35,30,100,35,80,ghost,poison,1,levitate,310,0
93,haunter,16,1,142,45,50,45,115,55,95,ghost,poison,1,levitate,405,0
94,gengar,15,405,225,60,65,60,130,75,110,ghost,poison,1,cursed-body,500,1
95,onix,88,2100,77,35,45,160,30,45,70,rock,ground,3,"rock-head, sturdy, weak-armor",385,0
96,drowzee,10,324,66,60,48,45,43,90,42,psychic,,3,"insomnia, forewarn, inner-focus",328,0
97,hypno,16,756,169,85,73,70,73,115,67,psychic,,3,"insomnia, forewarn, inner-focus",483,0
98,krabby,4,65,65,30,105,90,25,25,50,water,,3,"hyper-cutter, shell-armor, sheer-force",325,0
99,kingler,13,600,166,55,130,115,50,50,75,water,,3,"hyper-cutter, shell-armor, sheer-force",475,0
100,voltorb,5,104,66,40,30,50,55,55,100,electric,,3,"soundproof, static, aftermath",330,0
101,electrode,12,666,172,60,50,70,80,80,150,electric,,3,"soundproof, static, aftermath",490,0
102,exeggcute,4,25,65,60,40,80,60,45,40,grass,psychic,2,"chlorophyll, harvest",325,0
103,exeggutor,20,1200,186,95,95,85,125,75,55,grass,psychic,2,"chlorophyll, harvest",530,1
104,cubone,4,65,64,50,50,95,40,50,35,ground,,3,"rock-head, lightning-rod, battle-armor",320,0
105,marowak,10,450,149,60,80,110,50,80,45,ground,,3,"rock-head, lightning-rod, battle-armor",425,0
106,hitmonlee,15,498,159,50,120,53,35,110,87,fighting,,3,"limber, reckless, unburden",455,0
107,hitmonchan,14,502,159,50,105,79,35,110,76,fighting,,3,"keen-eye, iron-fist, inner-focus",455,0
108,lickitung,12,655,77,90,55,75,60,75,30,normal,,3,"own-tempo, oblivious, cloud-nine",385,0
109,koffing,6,10,68,40,65,95,60,45,35,poison,,3,"levitate, neutralizing-gas, stench",340,0
110,weezing,12,95,172,65,90,120,85,70,60,poison,,3,"levitate, neutralizing-gas, stench",490,0
111,rhyhorn,10,1150,69,80,85,95,30,30,25,ground,rock,3,"lightning-rod, rock-head, reckless",345,0
112,rhydon,19,1200,170,105,130,120,45,45,40,ground,rock,3,"lightning-rod, rock-head, reckless",485,0
113,chansey,11,346,395,250,5,5,35,105,50,normal,,3,"natural-cure, serene-grace, healer",450,0
114,tangela,10,350,87,65,55,115,100,40,60,grass,,3,"chlorophyll, leaf-guard, regenerator",435,0
115,kangaskhan,22,800,172,105,95,80,40,80,90,normal,,3,"early-bird, scrappy, inner-focus",490,0
116,horsea,4,80,59,30,40,70,70,25,60,water,,3,"swift-swim, sniper, damp",295,0
117,seadra,12,250,154,55,65,95,95,45,85,water,,3,"poison-point, sniper, damp",440,0
118,goldeen,6,150,64,45,67,60,35,50,63,water,,3,"swift-swim, water-veil, lightning-rod",320,0
119,seaking,13,390,158,80,92,65,65,80,68,water,,3,"swift-swim, water-veil, lightning-rod",450,0
120,staryu,8,345,68,30,45,55,70,55,85,water,,3,"illuminate, natural-cure, analytic",340,0
121,starmie,11,800,182,60,75,85,100,85,115,water,psychic,3,"illuminate, natural-cure, analytic",520,1
122,mr-mime,13,545,161,40,45,65,100,120,90,psychic,fairy,3,"soundproof, filter, technician",460,0
123,scyther,15,560,100,70,110,80,55,80,105,bug,flying,3,"swarm, technician, steadfast",500,1
124,jynx,14,406,159,65,50,35,115,95,95,ice,psychic,3,"oblivious, forewarn, dry-skin",455,0
125,electabuzz,11,300,172,65,83,57,95,85,105,electric,,2,"static, vital-spirit",490,0
126,magmar,13,445,173,65,95,57,100,85,93,fire,,2,"flame-body, vital-spirit",495,0
127,pinsir,15,550,175,65,125,100,55,70,85,bug,,3,"hyper-cutter, mold-breaker, moxie",500,1
128,tauros,14,884,172,75,100,95,40,70,110,normal,,3,"intimidate, anger-point, sheer-force",490,0
129,magikarp,9,100,40,20,10,55,15,20,80,water,,2,"swift-swim, rattled",200,0
130,gyarados,65,2350,189,95,125,79,60,100,81,water,flying,2,"intimidate, moxie",540,1
131,lapras,25,2200,187,130,85,80,85,95,60,water,ice,3,"water-absorb, shell-armor, hydration",535,1
132,ditto,3,40,101,48,48,48,48,48,48,normal,,2,"limber, imposter",288,0
133,eevee,3,65,65,55,55,50,45,65,55,normal,,3,"run-away, adaptability, anticipation",325,0
134,vaporeon,10,290,184,130,65,60,110,95,65,water,,2,"water-absorb, hydration",525,1
135,jolteon,8,245,184,65,65,60,110,95,130,electric,,2,"volt-absorb, quick-feet",525,1
136,flareon,9,250,184,65,130,60,95,110,65,fire,,2,"flash-fire, guts",525,1
137,porygon,8,365,79,65,60,70,85,75,40,normal,,3,"trace, download, analytic",395,0
138,omanyte,4,75,71,35,40,100,90,55,35,rock,water,3,"swift-swim, shell-armor, weak-armor",355,0
139,omastar,10,350,173,70,60,125,115,70,55,rock,water,3,"swift-swim, shell-armor, weak-armor",495,0
140,kabuto,5,115,71,30,80,90,55,45,55,rock,water,3,"swift-swim, battle-armor, weak-armor",355,0
141,kabutops,13,405,173,60,115,105,65,70,80,rock,water,3,"swift-swim, battle-armor, weak-armor",495,0
142,aerodactyl,18,590,180,80,105,65,60,75,130,rock,flying,3,"rock-head, pressure, unnerve",515,1
143,snorlax,21,4600,189,160,110,65,65,110,30,normal,,3,"immunity, thick-fat, gluttony",540,1
144,articuno,17,554,261,90,85,100,95,125,85,ice,flying,2,"pressure, snow-cloak",580,1
145,zapdos,16,526,261,90,90,85,125,90,100,electric,flying,2,"pressure, static",580,1
146,moltres,20,600,261,90,100,90,125,85,90,fire,flying,2,"pressure, flame-body",580,1
147,dratini,18,33,60,41,64,45,50,50,50,dragon,,2,"shed-skin, marvel-scale",300,0
148,dragonair,40,165,147,61,84,65,70,70,70,dragon,,2,"shed-skin, marvel-scale",420,0
149,dragonite,22,2100,270,91,134,95,100,100,80,dragon,flying,2,"inner-focus, multiscale",600,1
150,mewtwo,20,1220,306,106,110,90,154,90,130,psychic,,2,"pressure, unnerve",680,1
151,mew,4,40,270,100,100,100,100,100,100,psychic,,1,synchronize,600,1
152,chikorita,9,64,64,45,49,65,49,65,45,grass,,2,"overgrow, leaf-guard",318,0
153,bayleef,12,158,142,60,62,80,63,80,60,grass,,2,"overgrow, leaf-guard",405,0
154,meganium,18,1005,236,80,82,100,83,100,80,grass,,2,"overgrow, leaf-guard",525,1
155,cyndaquil,5,79,62,39,52,43,60,50,65,fire,,2,"blaze, flash-fire",309,0
156,quilava,9,190,142,58,64,58,80,65,80,fire,,2,"blaze, flash-fire",405,0
157,typhlosion,17,795,240,78,84,78,109,85,100,fire,,2,"blaze, flash-fire",534,1
158,totodile,6,95,63,50,65,64,44,48,43,water,,2,"torrent, sheer-force",314,0
159,croconaw,11,250,142,65,80,80,59,63,58,water,,2,"torrent, sheer-force",405,0
160,feraligatr,23,888,239,85,105,100,79,83,78,water,,2,"torrent, sheer-force",530,1
161,sentret,8,60,43,35,46,34,35,45,20,normal,,3,"run-away, keen-eye, frisk",215,0
162,furret,18,325,145,85,76,64,45,55,90,normal,,3,"run-away, keen-eye, frisk",415,0
163,hoothoot,7,212,52,60,30,30,36,56,50,normal,flying,3,"insomnia, keen-eye, tinted-lens",262,0
164,noctowl,16,408,158,100,50,50,86,96,70,normal,flying,3,"insomnia, keen-eye, tinted-lens",452,0
165,ledyba,10,108,53,40,20,30,40,80,55,bug,flying,3,"swarm, early-bird, rattled",265,0
166,ledian,14,356,137,55,35,50,55,110,85,bug,flying,3,"swarm, early-bird, iron-fist",390,0
167,spinarak,5,85,50,40,60,40,40,40,30,bug,poison,3,"swarm, insomnia, sniper",250,0
168,ariados,11,335,140,70,90,70,60,70,40,bug,poison,3,"swarm, insomnia, sniper",400,0
169,crobat,18,750,241,85,90,80,70,80,130,poison,flying,2,"inner-focus, infiltrator",535,1
170,chinchou,5,120,66,75,38,38,56,56,67,water,electric,3,"volt-absorb, illuminate, water-absorb",330,0
171,lanturn,12,225,161,125,58,58,76,76,67,water,electric,3,"volt-absorb, illuminate, water-absorb",460,0
172,pichu,3,20,41,20,40,15,35,35,60,electric,,2,"static, lightning-rod",205,0
173,cleffa,3,30,44,50,25,28,45,55,15,fairy,,3,"cute-charm, magic-guard, friend-guard",218,0
174,igglybuff,3,10,42,90,30,15,40,20,15,normal,fairy,3,"cute-charm, competitive, friend-guard",210,0
175,togepi,3,15,49,35,20,65,40,65,20,fairy,,3,"hustle, serene-grace, super-luck",245,0
176,togetic,6,32,142,55,40,85,80,105,40,fairy,flying,3,"hustle, serene-grace, super-luck",405,0
177,natu,2,20,64,40,50,45,70,45,70,psychic,flying,3,"synchronize, early-bird, magic-bounce",320,0
178,xatu,15,150,165,65,75,70,95,70,95,psychic,flying,3,"synchronize, early-bird, magic-bounce",470,0
179,mareep,6,78,56,55,40,40,65,45,35,electric,,2,"static, plus",280,0
180,flaaffy,8,133,128,70,55,55,80,60,45,electric,,2,"static, plus",365,0
181,ampharos,14,615,230,90,75,85,115,90,55,electric,,2,"static, plus",510,1
182,bellossom,4,58,221,75,80,95,90,100,50,grass,,2,"chlorophyll, healer",490,0
183,marill,4,85,88,70,20,50,20,50,40,water,fairy,3,"thick-fat, huge-power, sap-sipper",250,0
184,azumarill,8,285,189,100,50,80,60,80,50,water,fairy,3,"thick-fat, huge-power, sap-sipper",420,0
185,sudowoodo,12,380,144,70,100,115,30,65,30,rock,,3,"sturdy, rock-head, rattled",410,0
186,politoed,11,339,225,90,75,75,90,100,70,water,,3,"water-absorb, damp, drizzle",500,1
187,hoppip,4,5,50,35,35,40,35,55,50,grass,flying,3,"chlorophyll, leaf-guard, infiltrator",250,0
188,skiploom,6,10,119,55,45,50,45,65,80,grass,flying,3,"chlorophyll, leaf-guard, infiltrator",340,0
189,jumpluff,8,30,207,75,55,70,55,95,110,grass,flying,3,"chlorophyll, leaf-guard, infiltrator",460,0
190,aipom,8,115,72,55,70,55,40,55,85,normal,,3,"run-away, pickup, skill-link",360,0
191,sunkern,3,18,36,30,30,30,30,30,30,grass,,3,"chlorophyll, solar-power, early-bird",180,0
192,sunflora,8,85,149,75,75,55,105,85,30,grass,,3,"chlorophyll, solar-power, early-bird",425,0
193,yanma,12,380,78,65,65,45,75,45,95,bug,flying,3,"speed-boost, compound-eyes, frisk",390,0
194,wooper,4,85,42,55,45,45,25,25,15,water,ground,3,"damp, water-absorb, unaware",210,0
195,quagsire,14,750,151,95,85,85,65,65,35,water,ground,3,"damp, water-absorb, unaware",430,0
196,espeon,9,265,184,65,65,60,130,95,110,psychic,,2,"synchronize, magic-bounce",525,1
197,umbreon,10,270,184,95,65,110,60,130,65,dark,,2,"synchronize, inner-focus",525,1
198,murkrow,5,21,81,60,85,42,85,42,91,dark,flying,3,"insomnia, super-luck, prankster",405,0
199,slowking,20,795,172,95,75,80,100,110,30,water,psychic,3,"oblivious, own-tempo, regenerator",490,0
200,misdreavus,7,10,87,60,60,60,85,85,85,ghost,,1,levitate,435,0
201,unown,5,50,118,48,72,48,72,48,48,psychic,,1,levitate,336,0
202,wobbuffet,13,285,142,190,33,58,33,58,33,psychic,,2,"shadow-tag, telepathy",405,0
203,girafarig,15,415,159,70,80,65,90,65,85,normal,psychic,3,"inner-focus, early-bird, sap-sipper",455,0
204,pineco,6,72,58,50,65,90,35,35,15,bug,,2,"sturdy, overcoat",290,0
205,forretress,12,1258,163,75,90,140,60,60,40,bug,steel,2,"sturdy, overcoat",465,0
206,dunsparce,15,140,145,100,70,70,65,65,45,normal,,3,"serene-grace, run-away, rattled",415,0
207,gligar,11,648,86,65,75,105,35,65,85,ground,flying,3,"hyper-cutter, sand-veil, immunity",430,0
208,steelix,92,4000,179,75,85,200,55,65,30,steel,ground,3,"rock-head, sturdy, sheer-force",510,1
209,snubbull,6,78,60,60,80,50,40,40,30,fairy,,3,"intimidate, run-away, rattled",300,0
210,granbull,14,487,158,90,120,75,60,60,45,fairy,,3,"intimidate, quick-feet, rattled",450,0
211,qwilfish,5,39,88,65,95,85,55,55,85,water,poison,3,"poison-point, swift-swim, intimidate",440,0
212,scizor,18,1180,175,70,130,100,55,80,65,bug,steel,3,"swarm, technician, light-metal",500,1
213,shuckle,6,205,177,20,10,230,10,230,5,bug,rock,3,"sturdy, gluttony, contrary",505,1
214,heracross,15,540,175,80,125,75,40,95,85,bug,fighting,3,"swarm, guts, moxie",500,1
215,sneasel,9,280,86,55,95,55,35,75,115,dark,ice,3,"inner-focus, keen-eye, pickpocket",430,0
216,teddiursa,6,88,66,60,80,50,50,50,40,normal,,3,"pickup, quick-feet, honey-gather",330,0
217,ursaring,18,1258,175,90,130,75,75,75,55,normal,,3,"guts, quick-feet, unnerve",500,1
218,slugma,7,350,50,40,40,40,70,40,20,fire,,3,"magma-armor, flame-body, weak-armor",250,0
219,magcargo,8,550,151,60,50,120,90,80,30,fire,rock,3,"magma-armor, flame-body, weak-armor",430,0
220,swinub,4,65,50,50,50,40,30,30,50,ice,ground,3,"oblivious, snow-cloak, thick-fat",250,0
221,piloswine,11,558,158,100,100,80,60,60,50,ice,ground,3,"oblivious, snow-cloak, thick-fat",450,0
222,corsola,6,50,144,65,55,95,65,95,35,water,rock,3,"hustle, natural-cure, regenerator",410,0
223,remoraid,6,120,60,35,65,35,65,35,65,water,,3,"hustle, sniper, moody",300,0
224,octillery,9,285,168,75,105,75,105,75,45,water,,3,"suction-cups, sniper, moody",480,0
225,delibird,9,160,116,45,55,45,65,45,75,ice,flying,3,"vital-spirit, hustle, insomnia",330,0
226,mantine,21,2200,170,85,40,70,80,140,70,water,flying,3,"swift-swim, water-absorb, water-veil",485,0
227,skarmory,17,505,163,65,80,140,40,70,70,steel,flying,3,"keen-eye, sturdy, weak-armor",465,0
228,houndour,6,108,66,45,60,30,80,50,65,dark,fire,3,"early-bird, flash-fire, unnerve",330,0
229,houndoom,14,350,175,75,90,50,110,80,95,dark,fire,3,"early-bird, flash-fire, unnerve",500,1
230,kingdra,18,1520,243,75,95,95,95,95,85,water,dragon,3,"swift-swim, sniper, damp",540,1
231,phanpy,5,335,66,90,60,60,40,40,40,ground,,2,"pickup, sand-veil",330,0
232,donphan,11,1200,175,90,120,120,60,60,50,ground,,2,"sturdy, sand-veil",500,1
233,porygon2,6,325,180,85,80,90,105,95,60,normal,,3,"trace, download, analytic",515,1
234,stantler,14,712,163,73,95,62,85,65,85,normal,,3,"intimidate, frisk, sap-sipper",465,0
235,smeargle,12,580,88,55,20,35,20,45,75,normal,,3,"own-tempo, technician, moody",250,0
236,tyrogue,7,210,42,35,35,35,35,35,35,fighting,,3,"guts, steadfast, vital-spirit",210,0
237,hitmontop,14,480,159,50,95,95,35,110,70,fighting,,3,"intimidate, technician, steadfast",455,0
238,smoochum,4,60,61,45,30,15,85,65,65,ice,psychic,3,"oblivious, forewarn, hydration",305,0
239,elekid,6,235,72,45,63,37,65,55,95,electric,,2,"static, vital-spirit",360,0
240,magby,7,214,73,45,75,37,70,55,83,fire,,2,"flame-body, vital-spirit",365,0
241,miltank,12,755,172,95,80,105,40,70,100,normal,,3,"thick-fat, scrappy, sap-sipper",490,0
242,blissey,15,468,608,255,10,10,75,135,55,normal,,3,"natural-cure, serene-grace, healer",540,1
243,raikou,19,1780,261,90,85,75,115,100,115,electric,,2,"pressure, inner-focus",580,1
244,entei,21,1980,261,115,115,85,90,75,100,fire,,2,"pressure, inner-focus",580,1
245,suicune,20,1870,261,100,75,115,90,115,85,water,,2,"pressure, inner-focus",580,1
246,larvitar,6,720,60,50,64,50,45,50,41,rock,ground,2,"guts, sand-veil",300,0
247,pupitar,12,1520,144,70,84,70,65,70,51,rock,ground,1,shed-skin,410,0
248,tyranitar,20,2020,270,100,134,110,95,100,61,rock,dark,2,"sand-stream, unnerve",600,1
249,lugia,52,2160,306,106,90,130,90,154,110,psychic,flying,2,"pressure, multiscale",680,1
250,ho-oh,38,1990,306,106,130,90,110,154,90,fire,flying,2,"pressure, regenerator",680,1
251,celebi,6,50,270,100,100,100,100,100,100,psychic,grass,1,natural-cure,600,1
252,treecko,5,50,62,40,45,35,65,55,70,grass,,2,"overgrow, unburden",310,0
253,grovyle,9,216,142,50,65,45,85,65,95,grass,,2,"overgrow, unburden",405,0
254,sceptile,17,522,239,70,85,65,105,85,120,grass,,2,"overgrow, unburden",530,1
255,torchic,4,25,62,45,60,40,70,50,45,fire,,2,"blaze, speed-boost",310,0
256,combusken,9,195,142,60,85,60,85,60,55,fire,fighting,2,"blaze, speed-boost",405,0
257,blaziken,19,520,239,80,120,70,110,70,80,fire,fighting,2,"blaze, speed-boost",530,1
258,mudkip,4,76,62,50,70,50,50,50,40,water,,2,"torrent, damp",310,0
259,marshtomp,7,280,142,70,85,70,60,70,50,water,ground,2,"torrent, damp",405,0
260,swampert,15,819,241,100,110,90,85,90,60,water,ground,2,"torrent, damp",535,1
261,poochyena,5,136,56,35,55,35,30,30,35,dark,,3,"run-away, quick-feet, rattled",220,0
262,mightyena,10,370,147,70,90,70,60,60,70,dark,,3,"intimidate, quick-feet, moxie",420,0
263,zigzagoon,4,175,56,38,30,41,30,41,60,normal,,3,"pickup, gluttony, quick-feet",240,0
264,linoone,5,325,147,78,70,61,50,61,100,normal,,3,"pickup, gluttony, quick-feet",420,0
265,wurmple,3,36,56,45,45,35,20,30,20,bug,,2,"shield-dust, run-away",195,0
266,silcoon,6,100,72,50,35,55,25,25,15,bug,,1,shed-skin,205,0
267,beautifly,10,284,178,60,70,50,100,50,65,bug,flying,2,"swarm, rivalry",395,0
268,cascoon,7,115,72,50,35,55,25,25,15,bug,,1,shed-skin,205,0
269,dustox,12,316,173,60,50,70,50,90,65,bug,poison,2,"shield-dust, compound-eyes",385,0
270,lotad,5,26,44,40,30,30,40,50,30,water,grass,3,"swift-swim, rain-dish, own-tempo",220,0
271,lombre,12,325,119,60,50,50,60,70,50,water,grass,3,"swift-swim, rain-dish, own-tempo",340,0
272,ludicolo,15,550,216,80,70,70,90,100,70,water,grass,3,"swift-swim, rain-dish, own-tempo",480,0
273,seedot,5,40,44,40,40,50,30,30,30,grass,,3,"chlorophyll, early-bird, pickpocket",220,0
274,nuzleaf,10,280,119,70,70,40,60,40,60,grass,dark,3,"chlorophyll, early-bird, pickpocket",340,0
275,shiftry,13,596,216,90,100,60,90,60,80,grass,dark,3,"chlorophyll, wind-rider, pickpocket",480,0
276,taillow,3,23,54,40,55,30,30,30,85,normal,flying,2,"guts, scrappy",270,0
